iterations_count,players_scores,players_records,leader_id,outsider_id,games_time
251,[          8           4          34],[          8           4          34],2,1,207.53146505355835
251,[         11          10          18],[         11          10          34],2,1,206.80371046066284
251,[         22          32          20],[         22          32          34],1,2,202.0885283946991
251,[         39          17          16],[         39          32          34],0,2,205.39033842086792
251,[         27          25          10],[         39          32          34],0,2,212.52981758117676
251,[         15          26          14],[         39          32          34],1,2,206.30472898483276
251,[         34          14          18],[         39          32          34],0,1,219.03198289871216
251,[         19          23          17],[         39          32          34],1,2,206.58947443962097
251,[         36           2          10],[         39          32          34],0,1,161.4340991973877
251,[         23           1           8],[         39          32          34],0,1,168.43840718269348
251,[         20           1          13],[         39          32          34],0,1,163.49126839637756
251,[         32           2          18],[         39          32          34],0,1,173.87736058235168
251,[         28           2          23],[         39          32          34],0,1,176.0063133239746
251,[         17           1          17],[         39          32          34],0,1,181.34833574295044
251,[         24           1          25],[         39          32          34],2,1,173.06465077400208
251,[         13           1          17],[         39          32          34],2,1,165.77580666542053
251,[         16           1          21],[         39          32          34],2,1,162.8504581451416
251,[         18           1          30],[         39          32          34],2,1,165.93080258369446
251,[         35           1          20],[         39          32          34],0,1,162.4979591369629
251,[         29           1          19],[         39          32          34],0,1,163.2155578136444
251,[         28           1          25],[         39          32          34],0,1,161.81548810005188
